X,Y,objectid,wri_id,mill_name_,latitude,longitude,iso,certificat,group_name
102.879799999875786,2.045599999502287,81,WRI_213,Ban Dung Palm Oil Industries Sdn Bhd,2.0456,102.8798,MYS,None,Unknown
103.497800000682091,1.937499999488802,82,WRI_214,KKS Belitong,1.9375,103.4978,MYS,None,Unknown
103.676800000214996,1.765699999958779,83,WRI_215,KKS Bukit Besar,1.7657,103.6768,MYS,None,Unknown
100.918300000693307,5.673300000346068,84,WRI_216,Elite Palms Industries Sdn Bhd,5.6733,100.9183,MYS,None,Unknown
102.151000000685514,5.807399999659776,85,WRI_217,Kilang Kelapa Sawit Kemahang,5.8074,102.151,MYS,None,Unknown
102.274799999246341,4.999899999963188,86,WRI_218,Kilang Kelapa Sawit Paloh 3,4.9999,102.2748,MYS,None,Unknown
103.497399999750698,2.740100000674719,87,WRI_22,Endau Palm Oil Mill,2.7401,103.4974,MYS,None,Unknown
102.211399999392739,2.373999999457341,88,WRI_220,Kilang Kelapa Sawit Sri Lingga,2.374,102.2114,MYS,None,Unknown
102.44599999993082,2.900400000355206,89,WRI_222,Kilang Kelapa Sawit Serting,2.9004,102.446,MYS,None,Unknown
101.997900000150565,2.582600000156094,90,WRI_223,Kilang Kelapa Sawit Ulu Kanchong,2.5826,101.9979,MYS,None,Unknown
102.81980000030336,2.993399999933909,91,WRI_224,Kilang Kosfarm Sdn Bhd,2.9934,102.8198,MYS,None,Unknown
102.491200000075821,3.440200000149109,92,WRI_225,KKS Charuk Putting,3.4402,102.4912,MYS,None,Unknown
102.34570000016943,3.864499999972312,93,WRI_229,Kilang Kelapa Sawit Jerantut,3.8645,102.3457,MYS,None,Unknown
102.840400000210451,3.033899999875173,94,WRI_23,Wujud Wawasan,3.0339,102.8404,MYS,None,Unknown
102.689899999890542,3.558599999781082,95,WRI_230,Kilang Kelapa Sawit Felcra Maran,3.5586,102.6899,MYS,None,Unknown
102.976300000221201,2.962599999966103,96,WRI_232,KKS Keratong 9,2.9626,102.9763,MYS,None,Unknown
102.779400000555341,2.911600000774097,97,WRI_233,KKS Ladang Rompin,2.9116,102.7794,MYS,None,Unknown
