"Hotel accommodation: arrivals and overnight stays of open establishments by year, month, canton and visitors' country of residence"

"Year";"Month";"Canton";"Visitors' country of residence - total Arrivals";"Switzerland Arrivals";"Baltic States Arrivals";"Germany Arrivals";"France Arrivals";"Italy Arrivals";"Austria Arrivals";"United Kingdom Arrivals";"Irland Arrivals";"Netherlands Arrivals";"Belgium Arrivals";"Luxembourg Arrivals";"Denmark Arrivals";"Sweden Arrivals";"Norway Arrivals";"Finland Arrivals";"Spain Arrivals";"Portugal Arrivals";"Greece Arrivals";"Turkey Arrivals";"Other European countries Arrivals";"Liechtenstein Arrivals";"Iceland Arrivals";"Poland Arrivals";"Hungary Arrivals";"Belarus Arrivals";"Bulgaria Arrivals";"Malta Arrivals";"Cyprus Arrivals";"Chile Arrivals";"United States Arrivals";"Canada Arrivals";"Mexico Arrivals";"Brazil Arrivals";"Argentina Arrivals";"Central America, Caribbean Arrivals";"Other South American countries Arrivals";"Other Central American countries Arrivals";"Egypt Arrivals";"Other North African countries Arrivals";"South Africa Arrivals";"Other African countries Arrivals";"Bahrain Arrivals";"Israel Arrivals";"India Arrivals";"Japan Arrivals";"Other South-East Asian countries Arrivals";"Qatar Arrivals";"Kuwait Arrivals";"Australia Arrivals";"Australia, New Zealand, Oceania Arrivals";"China Arrivals";"Gulf States Arrivals";"Hong Kong Arrivals";"Indonesia Arrivals";"South Korea Arrivals";"Malaysia Arrivals";"Philippines Arrivals";"New Zealand, Oceania Arrivals";"Singapore Arrivals";"Oman Arrivals";"Taiwan (Chinese Taipei) Arrivals";"Thailand Arrivals";"Other West Asian countries Arrivals";"Estonia Arrivals";"Latvia Arrivals";"Lithuania Arrivals";"Saudi Arabia Arrivals";"United Arab Emirates Arrivals";"Serbia and Montenegro Arrivals";"Croatia Arrivals";"Romania Arrivals";"Russia Arrivals";"Slovakia Arrivals";"Slovenia Arrivals";"Czechia Arrivals";"Ukraine Arrivals";"Serbia Arrivals"
"2011";"February";"Switzerland";1130048;557094;...;144070;60648;34188;11321;63996;2795;33730;16314;6068;5886;9796;4400;3576;12124;3198;2800;3629;4137;881;579;4617;2132;472;1092;428;206;253;31351;5696;855;3365;937;...;1120;890;561;1358;1404;2372;517;3688;3294;8080;2551;573;624;3136;...;18088;...;3180;656;5049;1105;266;901;3484;252;1263;1941;1430;526;421;468;1946;1830;...;791;2259;13902;932;900;2880;1800;976
"2011";"March";"Switzerland";1270562;601596;...;188298;59066;45219;15018;58315;2680;25277;25456;2950;5218;11610;4890;3998;14449;3954;3924;3334;4569;1006;373;5508;2333;593;1239;377;299;382;43112;7673;1163;5662;990;...;1427;1003;774;1558;1821;2739;235;5213;6657;9737;3194;1204;522;4109;...;17780;...;3034;2197;5327;1909;404;660;3317;192;2726;5221;1745;584;662;497;1705;2172;...;937;2478;16950;1078;878;4180;2248;957
"2011";"April";"Switzerland";1140524;537947;...;147741;50242;35851;14131;50759;1979;16746;15408;2829;3899;6667;2897;3067;17544;3877;3191;2506;3982;862;259;3686;2272;431;1204;190;242;355;41351;7164;1633;6631;1139;...;1643;1017;820;1118;1706;2705;294;4223;15456;9735;3485;721;640;6621;...;30962;...;4540;2335;9227;2707;940;868;3867;101;3475;13634;1474;252;487;337;2785;2166;...;852;1922;11465;915;841;2878;1708;920
"2011";"May";"Switzerland";1269555;546071;...;161937;50989;34499;17015;54275;2438;22953;11913;2766;4249;6652;3092;3287;17003;3523;2599;3272;4296;1133;709;4104;3422;465;1463;198;225;705;66718;9842;1561;8540;1781;...;1858;1466;907;1320;1753;3522;222;4384;47747;17674;5901;899;602;11028;...;35981;...;4334;2682;13709;2629;869;1429;4486;220;6381;8310;1945;318;384;432;2971;2765;...;809;2225;14678;1169;1095;3543;2116;1097
"2011";"June";"Switzerland";1634396;722657;...;212956;60228;41572;20965;68252;2552;32796;18875;3756;5248;6840;4296;3745;21415;4573;3836;2964;4998;1207;441;4723;4117;761;1310;271;194;660;90853;11294;2131;7640;1809;...;2351;1902;1104;1382;2692;3455;567;6391;41501;42269;5023;1227;1717;13590;...;47619;...;5715;3470;11562;2942;584;2107;9045;440;8550;4191;1986;1463;629;947;5612;5238;...;840;2682;13840;1208;1504;4074;2111;931
"2011";"July";"Switzerland";1928381;844268;...;219565;72559;45119;22094;74287;2517;68379;35875;3564;9483;9333;7203;4842;28936;4252;3644;2861;5122;1261;370;4998;4766;583;1598;272;378;674;97037;12919;3121;9288;1564;...;2070;1763;1745;1603;2671;3038;1375;8137;25371;71194;6807;3475;5485;14595;...;61991;...;6332;2309;16743;2041;545;2244;3489;1291;8774;4318;3108;703;822;871;17576;12568;...;683;3235;15852;1312;860;5384;2466;803
"2011";"August";"Switzerland";1805928;822020;...;237168;77101;61042;22184;70364;2500;48249;26325;4770;5238;5765;3039;2648;37371;4874;4368;2889;6556;1253;319;4484;4294;354;1290;489;513;463;67742;10391;1942;6164;1250;...;2704;1473;770;876;1630;2513;330;10387;19403;47588;4782;812;910;10853;...;71703;...;6590;3713;15508;1870;585;1754;2739;146;6687;2792;1977;492;597;752;1883;4362;...;797;3786;15898;1246;1419;5289;2211;682
"2011";"September";"Switzerland";1657947;824172;...;209214;54755;36821;20222;65709;2762;25672;16573;3289;5040;7666;3890;3396;22272;4352;3302;2854;4551;1206;421;4157;2950;858;1462;344;242;601;82324;12088;2002;8714;1656;...;2012;2416;1013;1410;2292;3242;392;6674;15737;30704;4536;1478;2793;15914;...;50782;...;4689;4822;10142;2355;567;1710;4109;316;7263;3264;2382;1311;388;453;5642;5105;...;788;2919;13753;1039;990;4269;1897;842
"2011";"October";"Switzerland";1290601;674454;...;143823;49537;37146;13832;42093;1974;15030;9157;2021;3806;5812;3020;2720;16641;3918;2780;2532;3802;1038;506;3251;2402;223;908;212;231;446;50546;7204;1165;7410;1283;...;2074;1368;982;1361;1558;3706;277;4713;11664;17057;4881;831;590;8543;...;51784;...;4374;2067;9899;2351;1037;1111;3913;219;6133;6304;1880;508;310;311;2168;3343;...;848;2473;11556;955;728;2981;1805;1015
"2011";"November";"Switzerland";928773;466259;...;104818;45784;32265;12585;36363;2065;11478;8322;1794;2969;5041;2206;2349;13196;3255;2722;3609;3290;861;340;2858;1906;376;989;155;192;293;31730;4989;1158;4008;752;...;1447;837;884;1432;1373;2785;256;3257;5697;8311;3401;993;717;3527;...;30429;...;2697;1795;6650;2192;832;687;4222;199;2040;1774;1432;296;340;357;2402;2931;...;785;2330;11609;873;535;2610;1909;953
